date,sales,promotion
2020-12-14,199,1
2020-12-15,216,0
2020-12-16,203,1
2020-12-17,167,0
2020-12-18,208,0
2020-12-19,202,0
2020-12-20,210,0
2020-12-21,189,0
2020-12-22,203,0
2020-12-23,171,1
2020-12-24,194,1
2020-12-25,195,0
2020-12-26,163,1
2020-12-27,181,0
2020-12-28,226,0
2020-12-29,196,1
2020-12-30,206,0
2020-12-31,215,0
2021-01-01,198,0
2021-01-02,213,0
2021-01-03,193,0
2021-01-04,198,0
2021-01-05,204,0
2021-01-06,196,0
2021-01-07,193,0
2021-01-08,221,1
2021-01-09,179,0
2021-01-10,201,0
2021-01-11,194,0
2021-01-12,182,0
2021-01-13,173,0
2021-01-14,212,0
2021-01-15,200,1
2021-01-16,225,0
2021-01-17,181,0
2021-01-18,213,0
2021-01-19,182,1
2021-01-20,186,0
2021-01-21,198,0
2021-01-22,227,0
2021-01-23,201,0
2021-01-24,210,0
2021-01-25,194,0
2021-01-26,207,0
2021-01-27,193,0
2021-01-28,210,0
2021-01-29,190,0
2021-01-30,189,0
2021-01-31,221,1
2021-02-01,195,0
2021-02-02,205,1
2021-02-03,225,0
2021-02-04,191,1
2021-02-05,194,0
2021-02-06,201,1
2021-02-07,212,0
2021-02-08,206,0
2021-02-09,209,0
2021-02-10,232,1
2021-02-11,223,0
2021-02-12,200,0
2021-02-13,193,0
2021-02-14,185,1
2021-02-15,196,0
2021-02-16,165,0
2021-02-17,204,0
2021-02-18,219,0
2021-02-19,203,0
2021-02-20,194,1
2021-02-21,197,0
2021-02-22,206,0
2021-02-23,194,0
2021-02-24,186,0
2021-02-25,209,0
2021-02-26,192,1
2021-02-27,182,0
2021-02-28,187,0
2021-03-01,219,0
2021-03-02,188,1
2021-03-03,209,0
2021-03-04,209,0
2021-03-05,202,0
2021-03-06,212,0
2021-03-07,201,1
2021-03-08,178,1
2021-03-09,198,0
2021-03-10,200,0
2021-03-11,203,1
2021-03-12,185,1
2021-03-13,199,0
2021-03-14,183,0
2021-03-15,227,0
2021-03-16,179,0
2021-03-17,194,1
2021-03-18,201,0
2021-03-19,217,0
2021-03-20,197,0
2021-03-21,214,0
2021-03-22,201,0
2021-03-23,202,0
2021-03-24,202,0
2021-03-25,183,0
2021-03-26,207,0
2021-03-27,199,0
2021-03-28,202,1
2021-03-29,179,0
2021-03-30,194,0
2021-03-31,232,1
2021-04-01,202,0
2021-04-02,206,0
2021-04-03,193,0
2021-04-04,190,0
2021-04-05,212,0
2021-04-06,225,0
2021-04-07,210,1
2021-04-08,203,0
2021-04-09,209,1
2021-04-10,181,1
2021-04-11,184,0
2021-04-12,204,0
2021-04-13,211,0
2021-04-14,208,0
2021-04-15,212,0
2021-04-16,165,0
2021-04-17,225,0
2021-04-18,209,0
2021-04-19,191,0
2021-04-20,191,0
2021-04-21,185,0
2021-04-22,228,0
2021-04-23,214,0
2021-04-24,188,0
2021-04-25,213,0
2021-04-26,208,0
2021-04-27,224,1
2021-04-28,196,0
2021-04-29,213,0
2021-04-30,206,0
2021-05-01,201,0
2021-05-02,192,0
2021-05-03,191,1
2021-05-04,174,0
2021-05-05,212,1
2021-05-06,205,0
2021-05-07,220,0
2021-05-08,201,1
2021-05-09,188,0
2021-05-10,216,1
2021-05-11,195,0
2021-05-12,213,1
2021-05-13,223,0
2021-05-14,211,0
2021-05-15,182,0
2021-05-16,206,0
2021-05-17,180,0
2021-05-18,205,1
2021-05-19,189,0
2021-05-20,211,0
2021-05-21,205,0
2021-05-22,206,1
2021-05-23,169,0
2021-05-24,228,0
2021-05-25,210,1
2021-05-26,192,0
2021-05-27,173,0
2021-05-28,202,0
2021-05-29,197,0
2021-05-30,173,1
2021-05-31,226,0
2021-06-01,202,0
2021-06-02,200,1
2021-06-03,198,0
2021-06-04,195,0
2021-06-05,227,0
2021-06-06,230,0
2021-06-07,185,0
2021-06-08,182,0
2021-06-09,218,1
2021-06-10,192,0
2021-06-11,207,0
2021-06-12,203,0
2021-06-13,202,0
2021-06-14,192,0
2021-06-15,209,0
2021-06-16,222,0
2021-06-17,172,0
2021-06-18,198,0
2021-06-19,188,1
2021-06-20,209,0
2021-06-21,170,1
2021-06-22,186,0
2021-06-23,211,1
2021-06-24,190,0
2021-06-25,186,1
2021-06-26,209,1
2021-06-27,192,0
2021-06-28,199,1
2021-06-29,229,1
2021-06-30,182,1
2021-07-01,197,0
2021-07-02,201,0
2021-07-03,192,0
2021-07-04,179,1
2021-07-05,220,0
2021-07-06,202,0
2021-07-07,234,0
2021-07-08,185,0
2021-07-09,227,0
2021-07-10,190,0
2021-07-11,230,0
2021-07-12,206,0
2021-07-13,236,0
2021-07-14,188,0
2021-07-15,175,0
2021-07-16,203,0
2021-07-17,229,0
2021-07-18,207,1
2021-07-19,193,0
2021-07-20,209,1
2021-07-21,166,0
2021-07-22,218,0
2021-07-23,184,0
2021-07-24,222,0
2021-07-25,202,1
2021-07-26,173,1
2021-07-27,210,0
2021-07-28,216,0
2021-07-29,180,0
2021-07-30,196,0
2021-07-31,172,1
2021-08-01,186,1
2021-08-02,198,0
2021-08-03,214,1
2021-08-04,200,0
2021-08-05,198,0
2021-08-06,206,0
2021-08-07,223,0
2021-08-08,193,0
2021-08-09,199,0
2021-08-10,180,0
2021-08-11,216,0
2021-08-12,197,0
2021-08-13,213,1
2021-08-14,209,0
2021-08-15,197,0
2021-08-16,185,0
2021-08-17,214,1
2021-08-18,189,0
2021-08-19,180,0
2021-08-20,202,0
2021-08-21,181,0
2021-08-22,203,0
2021-08-23,191,0
2021-08-24,206,0
2021-08-25,188,0
2021-08-26,208,0
2021-08-27,201,0
2021-08-28,211,0
2021-08-29,222,0
2021-08-30,208,1
2021-08-31,208,0
2021-09-01,204,0
2021-09-02,226,0
2021-09-03,189,0
2021-09-04,216,0
2021-09-05,208,0
2021-09-06,190,0
2021-09-07,207,1
2021-09-08,200,1
2021-09-09,168,0
2021-09-10,200,0
2021-09-11,209,0
2021-09-12,197,1
2021-09-13,187,0
2021-09-14,195,0
2021-09-15,194,0
2021-09-16,204,0
2021-09-17,204,0
2021-09-18,234,0
2021-09-19,193,0
2021-09-20,184,0
2021-09-21,215,0
2021-09-22,207,0
2021-09-23,173,0
2021-09-24,232,1
2021-09-25,195,0
2021-09-26,198,0
2021-09-27,199,0
2021-09-28,213,1
2021-09-29,194,0
2021-09-30,168,1
2021-10-01,173,0
2021-10-02,191,0
2021-10-03,213,0
2021-10-04,193,1
2021-10-05,217,1
2021-10-06,189,0
2021-10-07,203,1
2021-10-08,196,0
2021-10-09,209,1
2021-10-10,185,0
2021-10-11,194,0
2021-10-12,199,1
2021-10-13,187,0
2021-10-14,189,1
2021-10-15,231,0
2021-10-16,199,0
2021-10-17,205,0
2021-10-18,207,0
2021-10-19,196,0
2021-10-20,209,0
2021-10-21,232,0
2021-10-22,200,0
2021-10-23,218,0
2021-10-24,181,1
2021-10-25,187,1
2021-10-26,214,1
2021-10-27,181,0
2021-10-28,194,0
2021-10-29,213,0
2021-10-30,205,1
2021-10-31,197,0
2021-11-01,195,1
2021-11-02,225,0
2021-11-03,213,0
2021-11-04,209,0
2021-11-05,199,1
2021-11-06,203,0
2021-11-07,206,1
2021-11-08,194,0
2021-11-09,187,0
2021-11-10,218,1
2021-11-11,189,1
2021-11-12,182,0
2021-11-13,208,1
2021-11-14,183,0
2021-11-15,190,0
2021-11-16,203,0
2021-11-17,160,0
2021-11-18,204,0
2021-11-19,191,0
2021-11-20,178,0
2021-11-21,211,0
2021-11-22,211,0
2021-11-23,215,0
2021-11-24,184,0
2021-11-25,190,0
2021-11-26,212,0
2021-11-27,207,1
2021-11-28,187,0
2021-11-29,191,0
2021-11-30,199,1
2021-12-01,202,0
2021-12-02,201,0
2021-12-03,189,0
2021-12-04,183,0
2021-12-05,185,0
2021-12-06,199,0
2021-12-07,198,0
2021-12-08,210,0
2021-12-09,205,0
2021-12-10,186,0
2021-12-11,225,0
2021-12-12,218,0
2021-12-13,183,0
2021-12-14,181,0
2021-12-15,203,0
2021-12-16,216,0
2021-12-17,204,0
2021-12-18,193,0
2021-12-19,197,0
2021-12-20,188,0
2021-12-21,210,1
2021-12-22,214,0
2021-12-23,211,0
2021-12-24,209,1
2021-12-25,213,0
2021-12-26,216,0
2021-12-27,180,0
2021-12-28,180,0
2021-12-29,196,0
2021-12-30,200,0
2021-12-31,199,0
2022-01-01,207,0
2022-01-02,211,1
2022-01-03,196,0
2022-01-04,229,0
2022-01-05,200,0
2022-01-06,186,0
2022-01-07,187,0
2022-01-08,209,0
2022-01-09,218,0
2022-01-10,195,0
2022-01-11,190,0
2022-01-12,204,0
2022-01-13,206,0
2022-01-14,201,0
2022-01-15,203,0
2022-01-16,191,0
2022-01-17,195,0
2022-01-18,199,0
2022-01-19,183,0
2022-01-20,214,0
2022-01-21,216,0
2022-01-22,217,0
2022-01-23,197,1
2022-01-24,225,0
2022-01-25,191,0
2022-01-26,224,0
2022-01-27,227,1
2022-01-28,212,0
2022-01-29,199,0
2022-01-30,200,0
2022-01-31,193,0
2022-02-01,196,0
2022-02-02,178,0
2022-02-03,211,0
2022-02-04,185,0
2022-02-05,208,0
2022-02-06,193,0
2022-02-07,218,1
2022-02-08,195,0
2022-02-09,204,0
2022-02-10,212,0
2022-02-11,191,0
2022-02-12,210,0
2022-02-13,180,0
2022-02-14,200,0
2022-02-15,194,0
2022-02-16,184,0
2022-02-17,203,0
2022-02-18,211,0
2022-02-19,192,0
2022-02-20,176,0
2022-02-21,198,1
2022-02-22,224,0
2022-02-23,214,0
2022-02-24,191,0
2022-02-25,213,0
2022-02-26,186,0
2022-02-27,188,0
2022-02-28,197,0
2022-03-01,188,0
2022-03-02,215,0
2022-03-03,208,0
2022-03-04,184,0
2022-03-05,193,0
2022-03-06,217,0
2022-03-07,187,1
2022-03-08,203,0
2022-03-09,206,0
2022-03-10,222,0
2022-03-11,240,0
2022-03-12,207,1
2022-03-13,193,0
2022-03-14,202,0
2022-03-15,217,0
2022-03-16,201,0
2022-03-17,183,1
2022-03-18,211,1
2022-03-19,204,0
2022-03-20,197,0
2022-03-21,232,0
2022-03-22,198,0
2022-03-23,189,0
2022-03-24,209,0
2022-03-25,203,0
2022-03-26,197,0
2022-03-27,192,0
2022-03-28,207,0
2022-03-29,186,1
2022-03-30,205,0
2022-03-31,204,0
2022-04-01,237,0
2022-04-02,210,0
2022-04-03,188,0
2022-04-04,197,1
2022-04-05,207,0
2022-04-06,220,1
2022-04-07,179,1
2022-04-08,189,0
2022-04-09,204,0
2022-04-10,209,0
2022-04-11,183,0
2022-04-12,200,1
2022-04-13,203,0
2022-04-14,198,0
2022-04-15,193,0
2022-04-16,194,0
2022-04-17,202,0
2022-04-18,166,0
2022-04-19,188,0
2022-04-20,203,0
2022-04-21,196,0
2022-04-22,204,0
2022-04-23,231,0
2022-04-24,200,0
2022-04-25,217,0
2022-04-26,218,0
2022-04-27,201,0
2022-04-28,217,0
2022-04-29,179,0
2022-04-30,205,0
2022-05-01,226,0
2022-05-02,216,0
2022-05-03,192,0
2022-05-04,191,0
2022-05-05,172,1
2022-05-06,216,0
2022-05-07,166,0
2022-05-08,215,0
2022-05-09,193,0
2022-05-10,192,0
2022-05-11,218,0
2022-05-12,219,0
2022-05-13,198,0
2022-05-14,197,0
2022-05-15,197,0
2022-05-16,192,0
2022-05-17,220,0
2022-05-18,174,0
2022-05-19,192,0
2022-05-20,218,0
2022-05-21,197,0
2022-05-22,193,0
2022-05-23,216,0
2022-05-24,181,0
2022-05-25,191,0
2022-05-26,198,0
2022-05-27,191,0
2022-05-28,186,1
2022-05-29,196,0
2022-05-30,216,0
2022-05-31,179,0
2022-06-01,165,1
2022-06-02,207,0
2022-06-03,206,0
2022-06-04,183,0
2022-06-05,201,1
2022-06-06,191,0
2022-06-07,208,1
2022-06-08,212,1
2022-06-09,210,0
2022-06-10,205,0
2022-06-11,205,0
2022-06-12,222,0
2022-06-13,191,0
2022-06-14,212,1
2022-06-15,208,1
2022-06-16,168,0
2022-06-17,200,0
2022-06-18,182,0
2022-06-19,199,0
2022-06-20,201,0
2022-06-21,208,0
2022-06-22,198,0
2022-06-23,197,0
2022-06-24,197,0
2022-06-25,221,0
2022-06-26,196,0
2022-06-27,215,0
2022-06-28,197,0
2022-06-29,203,0
2022-06-30,192,0
2022-07-01,204,0
2022-07-02,205,1
2022-07-03,197,0
2022-07-04,199,1
2022-07-05,185,1
2022-07-06,203,0
2022-07-07,202,0
2022-07-08,206,0
2022-07-09,219,0
2022-07-10,209,1
2022-07-11,218,1
2022-07-12,222,0
2022-07-13,194,0
2022-07-14,198,0
2022-07-15,190,0
2022-07-16,191,0
2022-07-17,236,0
2022-07-18,209,0
2022-07-19,210,0
2022-07-20,197,1
2022-07-21,217,1
2022-07-22,195,0
2022-07-23,188,0
2022-07-24,196,0
2022-07-25,236,0
2022-07-26,222,0
2022-07-27,182,1
2022-07-28,171,0
2022-07-29,222,1
2022-07-30,208,0
2022-07-31,188,0
2022-08-01,227,0
2022-08-02,171,0
2022-08-03,200,0
2022-08-04,201,1
2022-08-05,199,0
2022-08-06,207,0
2022-08-07,205,0
2022-08-08,172,1
2022-08-09,209,0
2022-08-10,187,0
2022-08-11,219,0
2022-08-12,190,0
2022-08-13,201,1
2022-08-14,234,0
2022-08-15,205,0
2022-08-16,207,0
2022-08-17,203,0
2022-08-18,219,0
2022-08-19,207,0
2022-08-20,229,0
2022-08-21,194,0
2022-08-22,199,0
2022-08-23,205,0
2022-08-24,217,1
2022-08-25,206,0
2022-08-26,209,0
2022-08-27,200,0
2022-08-28,181,1
2022-08-29,201,0
2022-08-30,193,0
2022-08-31,215,0
2022-09-01,194,0
2022-09-02,199,0
2022-09-03,198,0
2022-09-04,232,0
2022-09-05,211,0
2022-09-06,193,0
2022-09-07,215,0
2022-09-08,197,0
2022-09-09,179,0
2022-09-10,175,0
2022-09-11,181,0
2022-09-12,200,0
2022-09-13,200,0
2022-09-14,217,1
2022-09-15,193,0
2022-09-16,187,0
2022-09-17,180,0
2022-09-18,185,0
2022-09-19,207,0
2022-09-20,191,0
2022-09-21,206,0
2022-09-22,216,1
2022-09-23,214,0
2022-09-24,184,0
2022-09-25,204,0
2022-09-26,212,0
2022-09-27,203,0
2022-09-28,173,0
2022-09-29,189,0
2022-09-30,188,1
2022-10-01,190,0
2022-10-02,200,0
2022-10-03,221,0
2022-10-04,203,0
2022-10-05,211,0
2022-10-06,207,0
2022-10-07,190,0
2022-10-08,203,0
2022-10-09,201,0
2022-10-10,190,0
2022-10-11,197,0
2022-10-12,196,0
2022-10-13,209,1
2022-10-14,184,1
2022-10-15,170,0
2022-10-16,180,0
2022-10-17,194,0
2022-10-18,197,0
2022-10-19,202,0
2022-10-20,180,0
2022-10-21,201,0
2022-10-22,196,0
2022-10-23,200,1
2022-10-24,223,0
2022-10-25,206,0
2022-10-26,187,1
2022-10-27,217,0
2022-10-28,198,0
2022-10-29,222,0
2022-10-30,194,0
2022-10-31,218,0
2022-11-01,181,0
2022-11-02,189,0
2022-11-03,211,1
2022-11-04,229,0
2022-11-05,206,0
2022-11-06,193,0
2022-11-07,198,1
2022-11-08,219,0
2022-11-09,206,1
2022-11-10,197,0
2022-11-11,175,0
2022-11-12,218,1
2022-11-13,208,0
2022-11-14,186,0
2022-11-15,217,1
2022-11-16,180,1
2022-11-17,194,1
2022-11-18,213,0
2022-11-19,192,0
2022-11-20,200,1
2022-11-21,205,0
2022-11-22,197,0
2022-11-23,159,1
2022-11-24,180,0
2022-11-25,186,0
2022-11-26,195,1
2022-11-27,177,0
2022-11-28,183,0
2022-11-29,212,0
2022-11-30,187,0
2022-12-01,220,0
2022-12-02,191,1
2022-12-03,194,0
2022-12-04,210,0
2022-12-05,198,0
2022-12-06,213,0
2022-12-07,181,1
2022-12-08,179,0
2022-12-09,183,0
2022-12-10,222,0
2022-12-11,191,0
2022-12-12,216,0
2022-12-13,196,1
2022-12-14,192,0
2022-12-15,193,1
2022-12-16,195,0
2022-12-17,218,0
2022-12-18,222,0
2022-12-19,162,1
2022-12-20,200,0
2022-12-21,220,0
2022-12-22,225,0
2022-12-23,194,0
2022-12-24,196,0
2022-12-25,218,1
2022-12-26,197,0
2022-12-27,209,0
2022-12-28,217,0
2022-12-29,176,0
2022-12-30,187,0
2022-12-31,197,0
2023-01-01,192,0
2023-01-02,190,0
2023-01-03,201,0
2023-01-04,199,0
2023-01-05,189,0
2023-01-06,199,1
2023-01-07,237,0
2023-01-08,192,0
2023-01-09,201,0
2023-01-10,207,0
2023-01-11,202,0
2023-01-12,224,1
2023-01-13,236,0
2023-01-14,179,1
2023-01-15,206,0
2023-01-16,214,0
2023-01-17,190,1
2023-01-18,198,0
2023-01-19,201,0
2023-01-20,179,1
2023-01-21,214,0
2023-01-22,187,0
2023-01-23,187,1
2023-01-24,181,0
2023-01-25,201,0
2023-01-26,184,0
2023-01-27,182,1
2023-01-28,171,0
2023-01-29,190,0
2023-01-30,199,1
2023-01-31,217,0
2023-02-01,196,0
2023-02-02,204,0
2023-02-03,173,0
2023-02-04,167,0
2023-02-05,178,1
2023-02-06,207,1
2023-02-07,190,0
2023-02-08,195,0
2023-02-09,210,0
2023-02-10,198,0
2023-02-11,211,0
2023-02-12,216,0
2023-02-13,199,0
2023-02-14,181,0
2023-02-15,196,0
2023-02-16,213,1
2023-02-17,208,0
2023-02-18,208,1
2023-02-19,189,0
2023-02-20,198,0
2023-02-21,188,0
2023-02-22,196,0
2023-02-23,221,0
2023-02-24,224,0
2023-02-25,198,0
2023-02-26,217,0
2023-02-27,211,0
2023-02-28,197,0
2023-03-01,200,1
2023-03-02,225,0
2023-03-03,214,0
2023-03-04,194,0
2023-03-05,183,0
2023-03-06,191,1
2023-03-07,214,1
2023-03-08,210,1
2023-03-09,183,0
2023-03-10,220,0
2023-03-11,202,0
2023-03-12,209,0
2023-03-13,191,1
2023-03-14,196,0
2023-03-15,191,0
2023-03-16,208,0
2023-03-17,199,1
2023-03-18,216,1
2023-03-19,176,0
2023-03-20,199,0
2023-03-21,212,0
2023-03-22,202,0
2023-03-23,218,1
2023-03-24,204,0
2023-03-25,209,0
2023-03-26,197,0
2023-03-27,208,1
2023-03-28,180,0
2023-03-29,195,0
2023-03-30,217,1
2023-03-31,226,0
2023-04-01,224,1
2023-04-02,220,0
2023-04-03,206,0
2023-04-04,214,0
2023-04-05,212,0
2023-04-06,196,0
2023-04-07,203,0
2023-04-08,209,0
2023-04-09,187,1
2023-04-10,187,0
2023-04-11,198,0
2023-04-12,227,0
2023-04-13,192,0
2023-04-14,216,1
2023-04-15,209,0
2023-04-16,183,0
2023-04-17,181,0
2023-04-18,210,1
2023-04-19,193,0
2023-04-20,225,0
2023-04-21,215,0
2023-04-22,184,0
2023-04-23,204,1
2023-04-24,198,0
2023-04-25,189,0
2023-04-26,198,1
2023-04-27,195,0
2023-04-28,190,0
2023-04-29,203,0
2023-04-30,204,0
2023-05-01,211,0
2023-05-02,187,0
2023-05-03,204,0
2023-05-04,200,0
2023-05-05,205,1
2023-05-06,197,0
2023-05-07,195,1
2023-05-08,189,1
2023-05-09,206,0
2023-05-10,185,0
2023-05-11,198,1
2023-05-12,199,0
2023-05-13,183,0
2023-05-14,190,0
2023-05-15,185,0
2023-05-16,214,1
2023-05-17,185,1
2023-05-18,232,0
2023-05-19,164,0
2023-05-20,205,0
2023-05-21,196,0
2023-05-22,205,0
2023-05-23,212,0
2023-05-24,223,0
2023-05-25,165,0
2023-05-26,204,0
2023-05-27,187,0
2023-05-28,199,1
2023-05-29,204,0
2023-05-30,164,0
2023-05-31,196,0
2023-06-01,219,1
2023-06-02,201,0
2023-06-03,196,0
2023-06-04,180,0
2023-06-05,186,0
2023-06-06,180,1
2023-06-07,203,0
2023-06-08,201,0
2023-06-09,197,0
2023-06-10,210,0
2023-06-11,197,1
2023-06-12,192,0
2023-06-13,225,0
2023-06-14,224,0
2023-06-15,199,0
2023-06-16,180,0
2023-06-17,174,0
2023-06-18,200,0
2023-06-19,202,0
2023-06-20,222,0
2023-06-21,202,0
2023-06-22,217,0
2023-06-23,205,0
2023-06-24,252,0
